"CD_MUN";"NM_MUN";"V00748";"V00749";"V00750";"V00751";"V00752";"V00753";"V00754";"V00755";"V00756";"V00757";"V00758";"V00759";"V00760"
"3302056";"Italva";"762";"794";"775";"964";"1041";"966";"851";"872";"946";"811";"699";"780";"348"
"3302106";"Itaocara";"1325";"1370";"1372";"1411";"1529";"1732";"1489";"1565";"1496";"1353";"1090";"1393";"572"
"3302205";"Itaperuna";"5970";"6879";"6794";"6960";"7199";"7990";"6755";"6442";"6355";"5367";"4277";"4883";"2119"
"3302254";"Itatiaia";"1955";"2265";"2182";"2109";"2224";"2496";"2104";"2026";"1921";"1606";"1162";"1355";"476"
"3302270";"Japeri";"7021";"7255";"6729";"6427";"6918";"7457";"6118";"5482";"4430";"3511";"2545";"2626";"739"
"3302304";"Laje do Muriaé";"477";"548";"528";"413";"455";"486";"464";"456";"481";"403";"312";"328";"137"
"3302403";"Macaé";"16318";"17312";"18680";"20004";"22432";"21586";"16132";"13472";"12377";"10572";"7470";"7601";"2821"
"3302452";"Macuco";"414";"410";"304";"320";"365";"440";"377";"361";"286";"239";"198";"293";"99"
"3302502";"Magé";"16226";"16674";"16469";"15764";"15969";"16770";"14895";"14466";"13007";"10978";"8595";"9421";"3183"
"3302601";"Mangaratiba";"2574";"2654";"2566";"2836";"2845";"3122";"2832";"2804";"2742";"2457";"2005";"2096";"770"
"3302700";"Maricá";"12392";"12655";"12357";"12641";"14495";"16265";"14379";"13725";"12902";"11846";"9610";"10185";"3782"
"3302809";"Mendes";"942";"1085";"1083";"1096";"1102";"1253";"1218";"1199";"1299";"1231";"959";"1038";"482"
"3302858";"Mesquita";"10911";"12639";"12444";"11717";"11957";"13218";"11434";"10949";"10123";"9023";"7195";"7994";"3115"
"3302908";"Miguel Pereira";"1506";"1663";"1605";"1614";"1683";"1898";"1704";"1751";"1818";"1741";"1382";"1889";"865"
"3303005";"Miracema";"1786";"1896";"1817";"1846";"1701";"1962";"1624";"1634";"1645";"1381";"1081";"1238";"624"
"3303104";"Natividade";"926";"1045";"989";"920";"1012";"1102";"877";"961";"946";"794";"709";"786";"362"
"3303203";"Nilópolis";"8910";"9837";"9939";"10485";"11125";"11633";"10217";"10004";"9523";"9053";"7202";"8462";"3546"
"3303302";"Niterói";"24879";"30855";"32658";"33635";"35520";"38992";"32653";"31148";"31880";"30930";"26301";"34440";"18962"
"3303401";"Nova Friburgo";"11148";"12526";"12483";"12971";"13892";"14859";"12958";"12783";"12478";"11387";"9032";"11121";"5003"
"3303500";"Nova Iguaçu";"53493";"60539";"59021";"55941";"56217";"60411";"51908";"51161";"45778";"39405";"30049";"32753";"12083"
"3303609";"Paracambi";"2426";"2901";"2944";"3011";"3098";"3214";"2773";"2888";"2864";"2343";"1822";"2029";"820"
"3303708";"Paraíba do Sul";"2667";"2996";"2830";"2696";"2845";"3052";"2612";"2749";"2602";"2425";"1845";"2072";"993"
"3303807";"Paraty";"3160";"3160";"3147";"3269";"3777";"3896";"3254";"2727";"2460";"2021";"1428";"1364";"400"
"3303856";"Paty do Alferes";"1916";"2097";"2017";"2041";"2032";"2082";"1664";"1683";"1665";"1483";"1101";"1195";"453"
"3303906";"Petrópolis";"16403";"18964";"18631";"18959";"19627";"21466";"19192";"19135";"17980";"15882";"13371";"17575";"8063"
"3303955";"Pinheiral";"1573";"1642";"1709";"1577";"1830";"1987";"1532";"1445";"1521";"1404";"1125";"1152";"363"
"3304003";"Piraí";"1660";"1860";"1899";"1858";"1875";"2112";"1747";"1739";"1653";"1496";"1117";"1284";"437"
"3304102";"Porciúncula";"1156";"1204";"1136";"1147";"1212";"1246";"986";"1013";"1002";"865";"662";"747";"349"
"3304110";"Porto Real";"1361";"1550";"1480";"1520";"1625";"1645";"1383";"1265";"1093";"954";"679";"644";"220"
"3304128";"Quatis";"871";"983";"913";"927";"1017";"1027";"899";"831";"792";"678";"533";"614";"208"
"3304144";"Queimados";"10111";"10858";"10508";"10175";"10292";"11088";"9570";"8887";"7577";"6540";"4877";"5072";"1672"
"3304151";"Quissamã";"1527";"1534";"1543";"1519";"1556";"1627";"1291";"1300";"1291";"1045";"819";"894";"338"
"3304201";"Resende";"8120";"9123";"9354";"9554";"10491";"10631";"8916";"8216";"7537";"6672";"5178";"5844";"2354"
"3304300";"Rio Bonito";"3628";"3927";"3861";"3732";"4084";"4525";"3938";"3666";"3327";"2896";"2321";"2708";"1101"
"3304409";"Rio Claro";"1132";"1190";"1073";"1012";"1173";"1367";"1115";"1084";"926";"847";"667";"726";"301"
"3304508";"Rio das Flores";"603";"642";"645";"590";"528";"648";"584";"506";"505";"422";"266";"350";"151"
"3304524";"Rio das Ostras";"10453";"10645";"10690";"11326";"13598";"13824";"11268";"9479";"8501";"7462";"5928";"6100";"1996"
